기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20260504014500,79604.2,49103.1,65300.0,30501.1,62.1164,12429.3,24.4473
20260504015000,79597.6,49006.1,65300.0,30591.5,62.4239,12426.7,24.4867
20260504015500,79624.1,48600.1,65300.0,31024.0,63.8353,12600.3,25.0289
20260504020000,79600.4,48570.9,65300.0,31029.6,63.8851,12570.0,24.9831
20260504020500,80072.8,48797.0,65300.0,31275.8,64.0937,12444.7,24.624
20260504021000,80047.2,48472.4,65300.0,31574.8,65.1397,12653.8,25.1981
20260504021500,80061.9,48355.3,65300.0,31706.6,65.5701,12579.5,24.9817
20260504022000,80028.9,48040.4,65300.0,31988.5,66.5868,12526.4,24.868
20260504022500,80033.8,48042.6,65300.0,31991.2,66.5892,12235.7,24.2869
20260504023000,80021.6,48192.9,65300.0,31828.7,66.0444,12014.6,23.7767
20260504023500,80034.5,48176.5,65300.0,31858.0,66.1277,12018.0,23.791
20260504024000,79996.2,47878.4,65300.0,32117.8,67.082,11962.2,23.797
20260504024500,80001.2,47774.8,65300.0,32226.4,67.4549,11816.1,23.402
20260504025000,79985.0,47873.1,65300.0,32111.9,67.0771,11400.4,22.5336
20260504025500,79984.8,47929.3,65300.0,32055.5,66.8807,11072.7,21.8609
20260504030000,80041.9,47975.2,65300.0,32066.7,66.8401,11033.7,21.7655
20260504030500,80126.1,47723.6,65300.0,32402.6,67.8964,11170.9,22.1354
20260504031000,80140.7,47838.0,65300.0,32302.7,67.5252,11046.7,21.8516
20260504031500,80149.1,48268.7,65300.0,31880.3,66.0476,10620.5,20.8321
20260504032000,80137.7,47900.3,65300.0,32237.4,67.3012,10851.0,21.4361
20260504032500,80120.0,47674.1,65300.0,32446.0,68.0579,10812.3,21.3515
20260504033000,80153.4,47808.1,65300.0,32345.3,67.6565,10707.0,21.2224
20260504033500,80150.8,47610.2,65300.0,32540.6,68.348,11122.0,22.1312
20260504034000,80120.5,47750.4,65300.0,32370.1,67.7901,10932.2,21.6961
20260504034500,80124.1,47734.5,65300.0,32389.7,67.8538,10941.2,21.7213
20260504035000,80102.2,47618.2,65300.0,32484.0,68.2177,10951.4,21.7879
20260504035500,80125.7,47540.8,65300.0,32584.8,68.5407,10921.4,21.7604
